wavelength_nm,flux
330.0,1.1098
330.5,1.0429
331.0,0.991
331.5,0.99396
332.0,0.99277
332.5,0.98003
333.0,0.96394
333.5,0.937
334.0,0.95557
334.5,0.98862
335.0,1.0097
335.5,0.97453
336.0,0.88979
336.5,0.829
337.0,0.818
337.5,0.87732
338.0,0.92529
338.5,0.95783
339.0,0.96863
339.5,0.989
340.0,1.0544
340.5,1.0463
341.0,0.971
341.5,0.959
342.0,0.9957
342.5,1.0277
343.0,1.0417
343.5,0.98301
344.0,0.85416
344.5,0.813
345.0,0.91583
345.5,0.97021
346.0,0.94269
346.5,0.95594
347.0,0.96954
347.5,0.93318
348.0,0.92472
348.5,0.93721
349.0,0.899
349.5,0.91969
350.0,1.0122
350.5,1.0849
351.0,1.0534
351.5,1.0129
352.0,0.98383
352.5,0.926
353.0,0.98012
353.5,1.0752
354.0,1.1346
354.5,1.144
355.0,1.1406
355.5,1.0964
356.0,1.025
356.5,0.95914
357.0,0.842
357.5,0.85015
358.0,0.78916
358.5,0.731
359.0,0.85805
359.5,1.0321
360.0,1.089
360.5,1.0265
361.0,0.9415
361.5,0.918
362.0,0.958
362.5,1.045
363.0,1.071
363.5,1.038
364.0,1.0716
364.5,1.059
365.0,1.097
365.5,1.2041
366.0,1.286
366.5,1.2843
367.0,1.2577
367.5,1.2317
368.0,1.157
368.5,1.1459
369.0,1.1944
369.5,1.2795
370.0,1.2934
370.5,1.166
371.0,1.1811
371.5,1.2249
372.0,1.1444
372.5,1.0876
373.0,1.0445
373.5,0.939
374.0,0.93442
374.5,0.925
375.0,0.985
375.5,1.0874
376.0,1.124
376.5,1.104
377.0,1.1813
377.5,1.3149
378.0,1.4144
378.5,1.3765
379.0,1.226
379.5,1.098
380.0,1.152
380.5,1.231
381.0,1.249
381.5,1.1224
382.0,0.95426
382.5,0.82313
383.0,0.73603
383.5,0.71095
384.0,0.821
384.5,0.9862
385.0,1.0802
385.5,1.0296
386.0,0.99113
386.5,1.0279
387.0,1.0354
387.5,1.0186
388.0,1.0067
388.5,0.99743
389.0,1.081
389.5,1.1958
390.0,1.2519
390.5,1.2601
391.0,1.3322
391.5,1.349
392.0,1.24
392.5,1.0312
393.0,0.745
393.5,0.5912
394.0,0.76675
394.5,1.0557
395.0,1.245
395.5,1.3245
396.0,1.1626
396.5,0.8433
397.0,0.652
397.5,0.96142
398.0,1.301
398.5,1.5342
399.0,1.6245
399.5,1.6717
400.0,1.6885
401.0,1.752
402.0,1.814
403.0,1.74
404.0,1.763
405.0,1.715
406.0,1.666
407.0,1.63
408.0,1.699
409.0,1.809
410.0,1.537
411.0,1.715
412.0,1.816
413.0,1.7392
414.0,1.7144
415.0,1.7688
416.0,1.815
417.0,1.766
418.0,1.685
419.0,1.749
420.0,1.599
421.0,1.811
422.0,1.782
423.0,1.721
424.0,1.708
425.0,1.755
426.0,1.699
427.0,1.638
428.0,1.651
429.0,1.523
430.0,1.212
431.0,1.099
432.0,1.822
433.0,1.6913
434.0,1.56
435.0,1.709
436.0,1.868
437.0,1.9
438.0,1.663
439.0,1.601
440.0,1.83
441.0,1.799
442.0,1.922
443.0,1.949
444.0,1.8941
445.0,1.965
446.0,1.7557
447.0,1.99
448.0,2.014
449.0,2.001
450.0,2.069
451.0,2.142
452.0,2.047
453.0,1.8864
454.0,2.018
455.0,2.001
456.0,2.063
457.0,2.077
458.0,2.032
459.0,2.012
